,review_comment
752,"  Sacramento to Mazatlán via Phoenix. First leg delayed, second automatically rescheduled a day later. This is a 4 day trip, now a 3 day trip. I’m told there is no other way to get me to MZT, that if I go home and try again tomorrow I’m out of pocket for the RT Lyft (c.$50) and if I go to Phoenix, I may have to pay for my own hotel and seek reimbursement! Last business trip, AA stranded me in O’Hare for 8 hours. No food voucher, no lounge access, no upgrade, no nothing. American is awful."
753,  Charlotte to Orlando. My flight was to leave at 1030am in it got delayed over time I stop counting. I didn't get leave the first airport until 6pm at night my seat was taken that i paid for in was told i would have to buy a upgrade if to get it back. The staff was very rude when talking to them especially on the second part of the flight in North Carolina. I didn't get to my destination until almost 11pm at night was place in middle seat after my aisle was taken from me in was told I would have to pay a extra 50 dollars when there was lots of empty seat on the flight. This was the worst experience I have ever been on. I will never use this airline again they have drop off service
754,"  Chicago to Las Vegas. I booked a round-trip flight (as I do every year with American) from Chicago -> Las Vegas for the opening weekend of March Madness. My return flight was 8am on Monday March 25th. Right before boarding, the representative mentioned we would have a 15minute delay. Ok, not a big deal, this is typical with large airlines. 15 minutes later the representative then told us ""We're sorry, this flight has not been cancelled. Please call AA.com to choose a different flight at no extra charge."" As you would expect, all of the other flights out of Las Vegas on American were the next day. They wanted to switch my flight from Monday at 8am to Tuesday at 10am with a layover in Phoenix, arriving in Chicago at 10pm. (36 hours later ""free""). I called American Airlines and told them this was unacceptable and needed to be switched to a different airline since I had to work the next day. They said I could book through a separate airline and request a reimbursement. I chose to fly on a Delta flight that got me home around 11pm on Monday (8 hours after my original plans, not a huge issue). I then requested a reimbursement through American and they said ""We're sorry, if a flight is cancelled, please use a representative and we'll switch you to a new flight. Since you booked yourself, we cannot reimburse you."" I did exactly what they said and am now $600 out-of-pocket for a 1-way flight. I will never  use American airlines again. I was a once Platinum Pro member with them, but this is a new low to me. Avoid at all costs. Delta and Southwest are significantly better. I will pay $50+ more for a flight that is not American moving forward. Hope this helps save someone a future headache."
755,"  San Jose to Chicago via Charlotte. Terribly disorganized. Overbooked several flights and had people panicking. They gave my friend someone else’s ticket with his information on it. They gave myself and another person the same seat, then kicked me out because they said I didn’t have priority. They were rude over the loudspeaker and nagged us the entire flight about seatbelts, turning our phones off and giving their pens back after borrowing them for customs forms. We felt like cattle being herded not like paying customers. Food was also less than average. My animals are fed better. I will be avoiding AA in the future even if it means paying more."
756,"  Boston to Tucson. The worst flight. First our scheduled trip from Boston to Dallas to Tucson was changed to Boston to Los Angeles to Tucson. The seating was inexcusable, absolutely no room. Why make people so cramped and uncomfortable. Even the stewardess mentioned that the bathrooms had gotten so small if you go in the wrong way you cant turn around. The newer plane had tiny air vents that produced virtually no air, its was way too hot and there was no way to get fresh air. Mst planes have actual cool air that you can feel. Got to LA and next flight was delayed. Unfortunately have to return on AA but will never fly again using American."
757,  Boston to Chicago. Terrible service. Forced to check in my bags because I was told there was no overhead space. What’s the point of selling carry on tickets to economy group only to be forced to check in bag. On the flight From Philadelphia to Boston had a bad experience with some air hostess harassing me because of putting my suitcase in the overhead bin. If you have a choice don’t choose American Airlines.
758,"  Baltimore to Austin. I am again disappointed with American Airlines. While waiting for my plane I heard that the plane before us was having maintenance problems and could not take off for at least three hours. Then they were rerouting customers and changed our gate. I went to my new gate and learned that my flight was delayed as well and I was not able to make my connecting flight. Again it was because of maintenance problems on the plane. Is there no one checking these flights before they’re pulled up to the gate? American Airlines continues to go downhill and has been doing so for years. I am now connecting a flight in Dallas Fort Worth And was just informed that that flight as well is delayed! How can this happen on such an established airline? The planes are in disrepair. People are angry and service people have the attitude of “oh well” American Airlines is fast becoming a joke, it is a wonder that they are still viable. I have been a loyal member but I am fast turning my sites to Southwest who has a superior service reputation all around."
759," Charlotte to Las Vegas. American Airlines is the worlds worst airline company. I had the worst experience of my life. I held in the airport from 5am to 2pm. We got on a flight only to be sitting there for 20 min before taken off for maintenance issues on a plane that was supposedly sitting overnight. Why would you not have your mechanics looking at the plane prior to boarding time? The the flight was suppose to leave at 7:30 am only to be sent to another gate to board another flight only to be told 5 different boarding times and 2 hours later that that plane had mechanical issues as well. We were told it was due to maintenance and unable to fix. We did not board our flight until 1:30pm. How do you sell tickets without proper working planes? I also purchased an upgraded seat for the first flight, which I never sit in. What a waste! I had to miss 2 business meetings. Customer relations is refusing to set me up with their manager telling me they don't have one. American Airline you need to really do better. This is not the way you conduct business, especially when your dealing with my time and money. You really need to get yall act together and give your employees a proper training. The attitude that your staff have is so unprofessional. The sad apart American Airlines you do nothing to make sure your customers are feeling at ease after all the issues that you cause. I am very disappointed in your company."
760,  Again with American it is a continuous fight to keep your luggage as a carry on. After fighting for it on three other flighs the final leg they got me. Only to discover on the plane they had empyt bins all around. I demand for my luggage and they tell me once it’s tag the law states they cannot give me my stuff back. How about american airline stops taking luggage from their customers or start making a checked bag free to eliminate the carry ons. I will be sure to never go on American again. The airline has no customer service care and creates a hostile environment for people with carry on luggage. Two years ago this airline did the same thing trying to grab luggage out of my 8 year olds hands. They have no personal space or care and will take your stuff. Beware.
761,  Phoenix to Los Angeles. Booked ticket 2 months ago. Got to airport 3 hrs early and were told that they could not seat us together unless we paid $25 extra. That is a scam or extortion take your pick.
762,"  Disappointed From Miami to Guatemala. I've never been too satisfied with my flights with American Airlines and also this was not a good flight, even if the airplanes we used was quite new and the pitch was quite resonable. The flight looked as it was carried out by a low cost airlines: food on purchase and with no IFE (it was expected to have a Personal Device Entertainment, but it was no working even if I've got the app downloaded before the take off)"
763,"  San Jose to Miami. Not so bad From San José de Costa Rica to Miami. I have never been too satisfied with my flights with American Airlines, but that time I was partly surprised. It still to be a no frills flight with food on purchase, but that time the IFE was working. It was a Personal Device Entertainment so you can watch free movies and TV shows right from your personal device if you had downloaded on your device before your flight the AA app. I really appreciated this service."
764,"  A flight to forget. From Milan to Miami. Unfortunately, American Airlines still  using old aircraft on the routes between the US and Milan. My aircraft was not only old and in not good conditions, with an old-fashioned IFE system (overhead TV, no power), but it also had old and ruined seats. My seat was tilted outwards and it was not possible to change seats because the plane was full. The flight staff was quite good, but not always attentive to passenger needs as in others airlines. Poor quality food and beverage compared to those usually offered on transoceanic flights by European or Middle Eastern and Asian airlines. By the end, that 12h flight was an experience to forget, also because the ticket price was definitely overpriced compared to the services that AA was offering"
765,"  San Antonio to Dallas. 4th time flying with American. Also 4th time they’ve cancelled flights on me. Every time I fly with them there are delays and cancellations. Additionally, there are never enough support people to help and they’re always sorry for the problems. I feel bad for them but someone in management needs to be held accountable. If you fly, use any other airline. American seem to take no pride in making the customer experience a positive one"
766,  We recently flew Detroit to Philadelphia return and both flights the airline stated that only 25 passengers would be allowed their carryon bags. All others would be checked. My husband had a heart attack not long ago and had all his medicine. They refused to allow him his bag stating that we had to take his meds out and put them in a bag on our lap. This happened on both flights. When we boarded the plane there were many overhead bins with room for carry on bags. This is misleading as they sell their tickets as you can have a carryon and a bag. Then the attendants were very rude. Very disappointed in this airline.
767,"Not Verified |  My family traveled to New Zealand recently, and I cannot say enough good things about our experience with American. Long haul with a 5 year old is not something that I look forward to, but the American Airlines crew and ground staff were so warm and kind to our family. I was very impressed with the international flight’s in seat features like entertainment, cell phone charging . Meals were great and the snacks were a welcome reprieve. I travel like Guinness - not well - and i dread the bumpy landings and descent to Denver. I must compliment the pilot of our flight into DIA yesterday for the most gentle landing and descent I’ve had to date. My son was so excited for his first international trip, and the people at American made it so very special for him. Thank you all for all that you do!"
768," American Airlines is the worlds worst airline company. I had the worst experience of my life. My wife and I were held in the airport from 4pm until 1am. We got on a flight only to be taken back to the gate for maintenance issues on a flight that was already delayed. Then the flight was delayed 7 times (it was clear we weren't going anywhere) 6.45 to 7.00, then 7.45 to 9.20, then 10.00 then 10.30 then 1.15, then nowhere. We were told it was due to maintenance and not having a crew. How do you sell tickets without having a crew? We also were told we can't take our bags and that they would be on a flight that we were practically forced to take the next day into Manchester, NH. Sure enough the bags were never on that flight. I had to miss work the following day in order to make sure I got my bags. Customer relations is refusing to set me up with their manager telling me they don't have one. I promise on everything I love I will never fly American Airlines again, I will make sure my family and everyone I talk to doesn't step foot on an American Airlines plane. The planes are gross and outdated and missing upholstery, no TV's just won't make for a good day and possible could delay your plans. I had to miss work and a wedding because of them. "
769,"  Miami to Freeport. A few months back AA upgraded my status to Platinum for 3 months and I was able to get the free upgrade to business on this 45 minute flight. Needless to mention that the only business experience you can get on such flight is the pre takeoff beverage and a snack. The seat was nice and comfortable, the aircraft look and felt brand new and I got to work with no major hassles. Thank you AA, now if you could also fly out of ACY and give Spirit a run for their money that would be awesome!"
770,"  Philadelphia to Miami. This was an early flight to get to work, AA had recently sent me an email that they would upgrade my status to Platinum for 3 months so that I could experience the benefits of it. On this flight I did not make it for the business class upgrade, I believe I was like 10 on the list, however I got a seat with more leg room for no extra cost. I got to Miami from Philadelphia with no issues, the plane was clean and the crew professional. Good job AA!"
771,"Not Verified |  Kansas City to Philadelphia. I honestly wouldn’t fly American if they didn’t go everywhere I have to go. They are over priced for what you get. They are just as bad as Spirit as they charge you for seats. How dare you! What am I suppose to do, stand? If you’re not first class they make you feel like nothing. Thanks. Delta, Southwest, Virgin, JetBlue are so much better! These are my last flights on this airline."
772," Have not flown American Airlines in the past however, did connect thru Philadelphia Airport on a US Air flight 10 years ago. We left Minneapolis no issues, smaller plane. Landed in Philadelphia with plenty of time for our connection to Rome. Airport incredibly hot but that is not the airlines issue. Plane boarded fine (love with they put up sign queues for those who hang out in front of the gate). Plane was pushed back and proceeded to sit on the tarmac for over 3 hours waiting for our assigned place and then de-icing. Pilot was becoming irritated as apparently he could not turn on the ventilation (why I don't understand) and finally came on the intercom stating that the airport has run out of de-icing fuel. I guess they had to run to the store to buy more. In any case, our connection now in Rome is screwed but I don't blame American for that. I find fault with the initial flight crew who never once in those 3 hours made themselves known. When right before take off they came out with water and proceeded to serve the first 3 rows never to be seen again until food service (hour later). Not sure if they were new or what. When asked if they had milk to help settle my stomach the flight attendant said yes she'd be right back (never saw her again). We were towards the front of the cabin, not sure who was getting service here. I have been on many many international flights, so many lost opportunities to show better service. Not once during the overnight flight did they come around with water. No wake up towels (which are a really nice treat on some flights). Basically it was like no one was there. The only redeeming point was that upon landing a flight crew guy got all of us (7) to our connecting gate in time to board from Rome to Tel Aviv. Of course our bags never made it. Overall very disappointing picture of this airlines, and I guess $1000 is nothing to some service industries."
773," I’m sitting on this flight now. This is the worst experience I’ve ever had with an airline. They got delayed while on the plane. With no explanation whatsoever. Staff are extremely rude. There is no power supply and my daughter who is two years old is getting restless. I will miss my bus and have to wait additional time because I am still sitting on the ground. This is my first time and last time using American Airlines. Also, I had to pay for my two year old who they wouldn’t let me sit her on my lap. So far while writing this, 1 hour and a half. Terrible. "
774,"  Tampa to Philadelphia. Horrible experience. Flight overbooked, forced everyone with a carry on to become checked bag. Pilot said 15’minutes remain, ended up being 45. Once we got off the plane, checked bags were sent to wrong pickup location."
775,  Orlando to Miami. Rude completely unhelpful at desk. Almost missed flight. Then disrespectful again when another passenger cut the line for the second time. Bet if I was a man or traveling with one he wouldn’t have snapped at me. Worst flight experience ever. Won’t be returning!
776,"  American Airlines squeezes every cent of profit out at expense of customers and employees. My roundtrip has been nothing but delays and cancellations. I was stranded in SFO overnight after flight was bumped 10 hours because AA ""ran out of room vouchers"". I have to now wait 12 hours in Charlotte to take my final one-hour flight leg. I can drive faster than that by 8 hours! Even the supervisor in charge of the 2 employees at the ticketing desk last night said to complain to the airline because their policies are making it hell on employees too!"
777,"Not Verified |  Phoenix to Minneapolis. Worst customer service ever. Was traveling this evening (see picture - no one was allowed into the check in area despite no line). Stood next in line to check in bag for 40 minutes and was 3 minutes late to check my bag and told I couldn’t board my flight. When I asked for an explanation, one was not given. I was put on a standby flight with no guarantees seat for the following day again with no explanation. The lady helping me laughed when I walked away - clearly this was a joke to her. Now I’m stuck without a reservation despite paying for a ticket and waiting NEXT IN LINE for 40 minutes. Will never fly American again. Highly recommend flying southwest. American air lines at Phoenix sky harbor ALWAYS has customer service issues. Do not support this airline."
778,  Charlotte to Tampa. I was on flight 1773 and my seat was 18B. We had not taken off yet and I had a seizure. It was the first seizure I had in a year. The staff was great and the people around me were great. The steward in particular that stands out whose name I did not get because we just boarded and it was so crazy. He was so amazing and patient and helpful. He got all my stuff for me and made me feel comfortable during my seizure. I wasn’t rushed off the plane or felt embarrassed. The staff and other customers on the flight were so understanding and great. The flight was already delayed and my situation was making it worse and everyone was really great with me. Thank you and please tell that flight attendant from the bottom of my heart thank you!
779,"  Dallas to Lexington. I would recommend paying a little more money to fly with someone else. I’ve had problems every time I’ve flown with American and this past time has been a nightmare. First they do a surprise landing somewhere else, making all of us miss our other flights. They wouldn’t let me on my next one until I argued with them for a while and after they let me and others on they take us all the way to a 30 min take off spot only to take us back bc they decide to cancel it. Had to stay the night in the airport and was supposed to take off on another flight at 12, but only to have them have us get off bc technical issues. They get us another plane, we board, and they tell us to get off again bc technical. They obviously don’t care about their customers bc they won’t pay attention or do anything for wasting 2 days of our lives."
780,  Grand Cayman to Denver via Charlotte. I have not flown with this airline for 15+ years. Now I remember why. The absolute worst service in the industry not to mention targeting passengers. Completely incompetent employees in ticketing with no communication to outbound passengers was the beginning almost causing us to miss our flight. Then there was no food service or even the ability to purchase food on an international lunchtime flight not to mention the trash talking by the flight attendants during the flight. Make sure you do not question them because they will target passengers and force you to check your carry on luggage because of a “size” issue even though other passengers with a later boarding group and LARGER luggage were allowed to board no problem. What a disgusting level of service. Never again. Save yourself the problems and spend more to ensure this doesn’t happen to you.
781," We booked a round-trip fare for direct flights. When we were leaving Eagle airport we were told we had to stop in Denver to get fuel. How ridiculous to send a plane with not enough fuel. We were not offered a beverage or any food for free and got home over 2.5 hours late. No explanation or apology. The flight attendant, he said either we land in Denver or we have to let a third of the passengers off and he said it happens all the time if the flight is full. Why book a full plane then. We suffered and the airline benefited. Last time I’ll fly American. Four of us in our family. All unhappy!"
782,  Pittsburgh to Phoenix. Horrible customer service. Due to business I called in to move a flight back willing to pay as I have always done with Southwest Airlines. American was unable to accommodate me in any matter and advised me to buy another round trip ticket as my entire trip would be a total loss. There was no credit or any type of refund offered and on top of that they were the rudest people I have spoken to.
783," Cancun to Omaha via Miami. Absolutely dreadful experience. A nightmare. Flight delayed 5 times without any explanation, stuck in the airport for 6 hours, spent 80$ on food and internet to let family know. On arrival in Miami they throw us on the street without explanation how to get to shuttle to Holiday Inn hotel in the middle of the night. I was forced to take another flight to Chicago, arrive to Omaha a day later, miss my work. I didn’t pay for this. I paid for 5 hours 52 min flight with one connection. It was cattle treatment at the airport. I truly hope they go out of business."
784," I was traveling with my wife and two sons from Dallas to Phoenix via El Paso. I had a boarding pass in hand as I went through the long (25-30 min) security line at DFW. When we arrived at the security desk, the TSA officer scanned my boarding pass and told me it was ""invalid."" We then tried to scan it from my wife's smart phone in case it was a printer error. Still invalid. I was told to exit the security line and go to an AA kiosk to print another boarding pass. Well, the reserved seat with my name on it was no longer available, so I was forced to make another seat selection. In addition, I was forced to pay an extra $6-7 for the seat. Since I really wanted to join my family for our spring break vacation, and did not wish to miss my flight, I went ahead and bought the new seat. Fortunately the TSA officer allowed me back to the front of the line and I was able to join my family in the terminal, narrowly making the flight. The whole thing seemed like an outrage, even by AA's deplorable standards. Since this is a long review I will spare additional complaints about the long delay de-boarding the flight, the rude AA gate personnel who pretended not to notice my teenaged son while he waited to ask them a question, the long delay getting gate checked bags, etc.. Just awful."
785,"  Dayton to San Diego. I have never been treated so rudely. I have been a Delta flyer for years and I know why. I was flying to San Diego for an important business meeting I arrived at the airport 47 minutes before the flight by the time they were to weigh and load my bags there was 41 minutes until departure, they stopped mid check in and said oh you’ve missed the 45 minute minimum. I said I fly out of this airport all the time and this is my routine. I’ve never heard of such a thing and never missed a flight. Long story short they were less than helpful and suggested I go to the delta desk which I did. I had to book another round trip fair at $2000 just to get to my meeting. The Delta people were very helpful and said they have a 30 minute cut off and so did the rest of the airlines apparently not American. Horrible horrible customer service and poor manners. Never no matter the cost difference will I fly American."
786,  St. Louis to Dallas via Tampa. They never let me know my flight changed. The people at the desk were rude and unhelpful. Now i will miss a very important business meeting because I can't get a flight until the morning. I will never catch an American Airlines flight again.
787," Left Cleveland for Dallas on time, when we arrived to Dallas flight was delayed 2 hours then delayed another 3 hours. American Airlines were really great about trying to make customers happy. They offered rooms for customers who didn’t want to wait and had food and drinks at the gate complimentary. I have flown for years and American is my choice of airline. These things happen and we all know the risk when traveling."
788,"  Oklahoma City to Tampa. It is very frustrating that the majority of flyers take on 2 and even 3 carry on items. Most of them are large and need to be checked. We check our bags everytime we fly and are charged 25 bucks per bag. But, the people that don't check their bags and are forced to check them at the plane don't get charged a dime. There was a girl on our flight 3 days ago that carried on a duffle bag that was bigger than her. It didn't fit in the overhead compartment and it didn't fit under her seat. She had her feet on top of it the entire flight and no one said anything to her. All of this ""not checking bags"" also holds up the entire plane and with short connection times we have made very close calls of almost missing our connecting flights. This is a very frustrating and unfair system that needs to be taken care of immediately."
789,"  I flew with American Airlines from Manchester, UK to Philadelphia. I didn’t find the flight crew rude, however my mom sitting next to me said the man serving food was grumpy. While I didn’t find him especially friendly I didn’t think he was rude. The food was below average. The inflight entertainment didn’t have the biggest selection of films although I did find something to watch. This isn’t the worst airline experience I’ve had but far from the best."
790,"  Absolutely horrible airline. Flew from Cleveland to philly to Punta Cana, got a 5 hour delay to Punta Cana ended up getting to our resort at 8 at night. On way home we landed at 9 o clock they held us on plane till 10 and missed our flight home which was at 10:15 and wouldn’t even accommodate us to a hotel room for the night told us it wasn’t there fault we got held on the plane for an extra hour after landing had to spend an extra 130$ for a hotel room. "
791,"  New York JFK to Sao Paulo and back in business class was a flawless flight. AA's lounges on both ends have been renovated, while they won't win design awards, they are spacious and comfortable. At JFK, there is actually real champagne (let's hope that won't be cost reduced); at GRU, it's a Brazilian sparkler, surprisingly drinkable. Hot food at both ends looked dubious, the cold stuff was upscale deli quality but varied and tasty enough to make for a pleasant light supper. Boarding both times was smooth, the flight attendants were personable and caring, AA's much reviewed C seat is really spacious and confortable. I slept soundly, both ways practically from wheels up to final descent. Flights arrived a little early both times. What more can you ask for?"
792,"  Tampa to Charlotte. Absolute worst airline. Had to take emergency military leave to attend my grandfathers funeral. Was told by employee on the phone to buy a later in day ticket to save money and was assured multiple times that my ticket was available to be put on stand by for earlier flights. Arrived at TPA, only to be told by multiple employees that it wasnt eligible to be placed on stand by. So yes I know this is partly on myself for being ignorant enough to buy a later ticket. However, due to the dishonesty on the part of the sales representative and refusal to listen by the airport employees I missed my own grandfathers funeral. Really appreciate that AA. If I could give you a negative 10, I would."
793,"Not Verified |  I had a flight leaving out of Washington DC to go to Arizona (layover) then to California. My flight leaving from DC was at 7:01, we board the plane and then after an hour of sitting, the plane tells us to get off due to technical issues. I believe it was either smoking and there was an issue with the hydraulic system. So our flight departure time got pushed back to 9, then to 10, then. 12. And at 12 they said they would let us know if we could board the plane. 12 o’clock came, they said no, then pushed departure back to 2. Once two o’clock came, we no longer had a pilot or a flight crew. So we now have to wait for a flight crew. Pushed out time back to 3:30 then to 3:55. FINALLY we board and take off to Pheonix, AZ. I had to reschedule my layover flight now to arrive in California at 10pm, when originally I should’ve been to California by 12pm. My layover flight at AZ departure time is 8:37pm. We board the plane, and then get a text message (with their updates) that the flight gate has changed. They make an announcement after finish letting us board to say the plane is out of service we will be going to another plane. Now push back time is 9:00pm. I have been dealing with American Airlines literally all day, and I have never experienced anything like this before in my life. I will not be using them again. Did you not know the plane was going to be out of service."
794,  Raleigh Durham to Dallas Ft Worth. Terrible. It was round-trip both flights was delayed and don’t have space for cabin bag. Seriously this not acceptable everyone have their own time they shouldn’t ruin it. I am so disappointed.
795,"Not Verified |  Absolute worst airline I’ve ever flown with. I currently travel around twice per month with Delta for work, but had to take American Airlines for my honeymoon. Everyone from the baggage check worker to the gate workers were extremely rude. They overbooked my flight and told me that I had to check my carry-on due to size, even though I currently travel with this bag every other week without every encountering any issues. When I got on the plane, I witnessed them tell the lady in front of me that she was upgraded to first class, only to tell her she had to go back to her original seat when she got up to the front with her bag! This is a joke of an airline and I will never be flying with them again."
796,"  Kona to Phoenix. Awful experience on an aging, dirty poorly equipped plane. Seat had almost no room, very narrow. The legroom even though I paid for extra was awful and inadequate. The graphic showed when you select your seat was inaccurate and did not represent the leg room available on the plane. I got no satisfaction when I complained to AA. I'm even an AA Advantage credit card member, have a frequent flyer account as well and that meant nothing to them. "
797," Charlotte to Boston. Was supposed to leave at 10:20 pm, got postponed three times without any information. I was traveling with my kids one is 4 years old and the other 6 months old, we did not start boarding till after midnight and the staff were very rude and evasive when you ask for information. This airline is getting much worse, this is not my first bad experience, I am considering even canceling the credit card I have with American Airlines, not interested in their miles, very disappointed and frustrated. That leg of the trip just ruined all the fun we had on our vacation."
798,"Not Verified |  Gulfport to Dallas. I am sitting at the airport with another delayed flight. It has become way more normal for a flight delay than on time. Particularly with AA! Our flight is now 7 hours past due and still isn’t here. Also, they are not giving us updates. It is 10 minutes past the last updated departure time and no news at all. I recommend flying with anyone but AA. The “savings” isn’t worth it when you have to plan a full day early to allow for repeated delays. I’m done with American Airlines."
799," Ruined my vacation! Flight to Jacksonville delayed, rerouted to DC with a connection flight to Jacksonville. This flight delayed for 2 hours, arriving 15 minutes before my cruise was scheduled to leave, sat on the tarmac for an additional 15 mins while the pilot informed us ""short staffed, no one to guide the plane to the airport."" Really didn't matter that I arrived just in time to miss my cruise because my luggage arrived 3 hours later on a plane from Dallas. The response from this horrible airline? I received an email saying they were sorry that my travel plans didn't work out, but since I purchased an economy class tickets, there are no refunds. My vacation plans were going just fine until they ruined them. A year planning the ultimate vacation, all that time and money lost due to this heartless joke of an airline! "
800,"Not Verified |  Thanks to American Airlines we were stuck here in South Korea they didn’t give us a ""solution"" like three hours ago. After they canceled our original flight this morning with just one stop, reasons ""maintenance"". Very bad experience with this airline. Our original itinerary was from Shanghai to Dallas and then Houston, and the canceled and I called them to fix the issue and the hang up on me after 45 minutes on the phone and the selected the flight for us and the send us via a China airlines from Shanghai to South Korea and then Dallas and all those flights they put us in separated seats with two minors (with is prohibited) and 9 years old and a 2 years old minors and when we ask the flight attended the didn’t want to help us we have to find the way to trade the seats. We ask for a upgrade or refund for our way back home and they never says anything and now we don’t have even our miles for our way back home from Shanghai to Houston. Completely disappointed with the treatment that we received."
801,"Not Verified |  Alabama to New York. The only reliable thing about this airline is that it consistently fails to get its passengers to the agreed location on time. I’ve flown with American Airlines 3 times over the last year and every time something causes a failure on the airlines part to get me to the destination I payed to travel. Also I bought a family members ticket and today they failed to get them to the local airport and I’m having to drive hours to get them. It’s been blamed on the weather, mechanical issues, even bad luck by the airline but in reality this airline is terrible. I tried calling and asking for some sort of reimbursement but the said I would have to email the airline and provide tons of documentation instead of a representative helping me after the airlines failed on 4 different occasions. This airline is absolutely horrible and I hope people read this and go to another airline because there’s a high probability this airline will fail you!"
802,"  Los Angeles to Chicago. There is too many seats in the airplane and no one have any space. Everyone is sitting and touching another person every time you want to move. The tables are dirty so as carpet in many places. I have no idea who have decided about Zoës kitchen food but I have tried turkey wrap which was soggy, wet with wet cheese inside and no taste on the way to LA and on the way back to Chicago I give them a 2nd chance and tried chicken sandwich which had hard ciabatta some kind of sauce that made ciabatta soggy inside."
803,  Oklahoma City to Tampa. The absolute worst airline. Customer service leaves a lot to be desired. I was transferred 4 times. I will never fly American again. The staff in customer service for Dallas airport was very belittling to me. So he cancelled my flight because I told him to go back home.
804," New York to Dallas. Every time I've flown through them, my flight has been delayed. We had a 1 pm EST flight from LGA to DFW, which was cancelled eventually after several delays due to mechanical issue. Then we were put on a 7 pm flight that also got delayed several times before departing at 8:15 pm. We arrived at DFW at 11 pm, 7 hours later than we were suppose to! No, we didn't get any voucher or anything for the delay. There were other airlines that were cheaper than American Airlines but I chose AA thinking we will fly in comfort because of the extra cost. I was very wrong! I am never flying on an AA again. Please do yourself a favor and avoid them if you can. They are not worth the extra money. Infact they were a lot worse in my experience compared to other cheaper airlines. I have flown to NYC from DFW and back several times before on other airlines and not once did I experience any kind of delays. I give them 0/10."
805,"  Austin to Durango via Dallas. Well we made our flight to Dallas barely on time. Then our flight was delayed but that was ok we were going to make it, we made it to our gate on time only to find that it was closed and people on standby were put ahead of us, even though we were expected to make our flight and we bought our tickets months in advance. Thank you American legal for the worst flight experience ever. The flight attendants were polite, but they couldn't do anything for us."
806,"  St. Thomas to Detroit via Philadelphia. Honestly, this airline provided me the worst experience as far as flying goes, I fly somewhere usually once or twice a year, and I’ve been traveling via air travel for as long as I can remember. I opted to take AA instead of Spirit because I wanted a middle of the road airline to avoid delays or issues. Every flight and connecting flight I rode on was delayed by hours, the last trip being the longest of the delays. AA provided us “free chips” instead of meal tickets as their apology for such a long delay. Unless you went to the front desk and complained to their staff, nothing else was offered or provided. I found out some customers were given extra miles or credit towards another ticket at the airport, so I decided to call AA customer service to try and get the same credit. Instead of receiving help, I was talking to an extremely rude “customer service” agent who at the end of our phone conversation was literally screaming and yelling at me and reduced me to tears of frustration. I spoke with a supervisor who apologized for her co workers behavior, but I was still offered no other help or credit. This airline is a joke, and you are way better off saving over 150 bucks per tickets and fly spirit or some other airline before you consider this one. At least when spirit delayed my flight they offered us meal tickets and partial credit towards another ticket. I never say this about a company, but I hope AA goes under because they are truly terrible. I feel bad for the cabin staff, because they were the only ones who were kind and supportive and they work for a bad company."
807,"Not Verified |  Knoxville to Charlotte. I was late (my fault) I tried to check in at the kiosk but it wouldn't let me, thinking i missed my flight. I asked the lady at the counter, she nodded her head as if i had missed it, she asked for my ID and started looking for another flight, then she called someone and asked if there were on time. She then turned to me and said start running to security so of course i did as i got to security i turned and she was right behind me, she got me through security and to the gate. (with 1 minute to spare). So as if it couldn't get any better as were both out of breath and i'm thanking her for everything she's done, she turns to go back to work and then she turns back to me, and says oh yeah your going to need this, and gives me the credit card I left at the ticket counter. Know all that being said its been a uphill battle to get her the recognition she deserves so let me help you."
808,"  St Thomas to Huntsville via Charlotte. I arrived at my gate on a 2 hour lay-over. Sat there all this time. They boarded the flight to Huntsville. Right before they closed the doors the agent called my name and just said to me “sorry we can’t get you on this flight.” He didn’t offer any explanation. He told me to stick around and he will see. So after I waited around he said the flight is closed, and that really upset me. First of all I had a paid ticket with an assigned seat. Second of all; there were no explanation as to what happened, and last that male agent was rude, packed his things and left 14 of us standing there like dogs. Yes, I starting telling them how unfair, poor, and ridiculous this is. Then a lady came over and gave us those sorry $260 comfort in hotel vouchers for the night. AA services sucks, they are big liars. I will not fly with AA. Their services have gone to the dogs."
